"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 01:54:14 GMT 2023","Fri Jul 28 01:54:22 GMT 2023","7609","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenOpenWalletPage_thenTokenHandleDescriptionShouldDisplayed","whenOpenWalletPage_thenTokenHandleDescriptionShouldDisplayed(SoftAssertions)","Handled tokens names should be provided below input wallet addresses field"
"passed","Fri Jul 28 01:54:42 GMT 2023","Fri Jul 28 01:54:48 GMT 2023","6605","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenOpenWalletPage_thenNavbarShouldBeDisplay","whenOpenWalletPage_thenNavbarShouldBeDisplay()","Navbar is enable in the wallets page"
"passed","Fri Jul 28 01:54:22 GMT 2023","Fri Jul 28 01:54:30 GMT 2023","7748","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenOpenWalletPage_thenTitleShouldBeDisplay","whenOpenWalletPage_thenTitleShouldBeDisplay(TestProperty)","When user open wallet's provider page, app title should be display"
"passed","Fri Jul 28 01:53:19 GMT 2023","Fri Jul 28 01:53:29 GMT 2023","10119","","pl.kargolek.tests.WalletProviderErrorHandlerTest","","pl.kargolek.tests.WalletProviderErrorHandlerTest","whenNoEthPolygonPrice_thenSystemError","whenNoEthPolygonPrice_thenSystemError(TestData, TestDataSql, WebDriver, SoftAssertions)","For case of crypto price is not available"
"passed","Fri Jul 28 01:53:46 GMT 2023","Fri Jul 28 01:53:54 GMT 2023","7451","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenOpenWalletPage_thenInputPlaceholderShouldBeVisible","whenOpenWalletPage_thenInputPlaceholderShouldBeVisible()","User can see placeholder in input field that inform what data should be typed"
"passed","Fri Jul 28 01:52:52 GMT 2023","Fri Jul 28 01:53:00 GMT 2023","8963","","pl.kargolek.tests.WalletProviderErrorHandlerTest","","pl.kargolek.tests.WalletProviderErrorHandlerTest","whenBlankWallet_thenInfoToast","whenBlankWallet_thenInfoToast(SoftAssertions)","For blank address system should inform user about wrong action"
"passed","Fri Jul 28 01:53:29 GMT 2023","Fri Jul 28 01:53:37 GMT 2023","8094","","pl.kargolek.tests.WalletProviderErrorHandlerTest","","pl.kargolek.tests.WalletProviderErrorHandlerTest","whenIncorrectWalletsSyntax_thenInfoToast","whenIncorrectWalletsSyntax_thenInfoToast(TestData, SoftAssertions)","For incorrect wallets syntax '%s,%s' system should inform user about wrong action"
"passed","Fri Jul 28 01:54:00 GMT 2023","Fri Jul 28 01:54:14 GMT 2023","13834","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenWalletAddressCorrectAndPressSend_thenBalancePageShouldBeOpen","whenWalletAddressCorrectAndPressSend_thenBalancePageShouldBeOpen()","When user hit send button with valid ETH wallet address, balance page should be open"
"passed","Fri Jul 28 01:52:06 GMT 2023","Fri Jul 28 01:52:29 GMT 2023","22596","","pl.kargolek.tests.WalletProviderErrorHandlerTest","","pl.kargolek.tests.WalletProviderErrorHandlerTest","whenWalletAddressIllegalChar_thenInfoToast","whenWalletAddressIllegalChar_thenInfoToast(TestData, SoftAssertions)","For wallet address with illegal char system should inform user about wrong action"
"passed","Fri Jul 28 01:54:48 GMT 2023","Fri Jul 28 01:54:58 GMT 2023","9775","","pl.kargolek.tests.InputWalletsUITest","","pl.kargolek.tests.InputWalletsUITest","whenWalletAddressCorrectAndPressEnterKey_thenBalancePageShouldBeOpen","whenWalletAddressCorrectAndPressEnterKey_thenBalancePageShouldBeOpen()","When user hit send key with valid ETH wallet address, balance page should be open"
