"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 08 12:41:05 GMT 2023","Tue Aug 08 12:41:17 GMT 2023","11727","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenClickOnOpenExplorerForAvalancheWalletAddress_thenOpenExplorerPage","whenClickOnOpenExplorerForAvalancheWalletAddress_thenOpenExplorerPage(TestData, WebDriver)","Wallet explorer for test: AVAX: https://testnet.snowtrace.io/address/. All addresses belong to the testnet."
"passed","Tue Aug 08 12:41:43 GMT 2023","Tue Aug 08 12:41:56 GMT 2023","13469","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenRefreshThePage_thenDataMaintain","whenRefreshThePage_thenDataMaintain(TestData, WebDriver)",""
"passed","Tue Aug 08 12:41:27 GMT 2023","Tue Aug 08 12:41:53 GMT 2023","25512","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenPressSwitchWalletBalanceDetailView_thenViewIsChanged","whenPressSwitchWalletBalanceDetailView_thenViewIsChanged(TestData, SoftAssertions)","View can be switch 1. [Address, Amount, Value] 2. [1H, 24h, 7D] 3. [30D, 60D, 90D]"
"passed","Tue Aug 08 12:41:03 GMT 2023","Tue Aug 08 12:41:15 GMT 2023","11871","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenAvaxBalanceComponent","whenWalletValid_thenAvaxBalanceComponent(TestData)","AVAX balance component for valid wallet"
"passed","Tue Aug 08 12:42:25 GMT 2023","Tue Aug 08 12:42:41 GMT 2023","15957","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenHeadersForSymbolTotalAmountTotalValueHeader","whenWalletValid_thenHeadersForSymbolTotalAmountTotalValueHeader(TestData, SoftAssertions)",""
"passed","Tue Aug 08 12:40:52 GMT 2023","Tue Aug 08 12:41:03 GMT 2023","10653","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenEthBalanceComponent","whenWalletValid_thenEthBalanceComponent(TestData, WebDriver)","ETH balance component for valid wallet"
"passed","Tue Aug 08 12:40:27 GMT 2023","Tue Aug 08 12:40:52 GMT 2023","24771","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenCurrentPriceHigherThanPastPrices_thenValuesAreRed","whenCurrentPriceHigherThanPastPrices_thenValuesAreRed(TestData, SoftAssertions)","Lower past token values should have color red: rgba(255, 77, 0, 1)"
"passed","Tue Aug 08 12:41:53 GMT 2023","Tue Aug 08 12:42:06 GMT 2023","13276","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenTotalAmount","whenWalletValid_thenTotalAmount(TestData, SoftAssertions)","Total amount count amounts from all of the wallets provided by user for each token"
"broken","Tue Aug 08 12:39:55 GMT 2023","Tue Aug 08 12:40:27 GMT 2023","31547","","pl.kargolek.tests.BalanceUITest","","pl.kargolek.tests.BalanceUITest","whenCurrentPriceLowerThanPastPrices_thenValuesAreGreen","whenCurrentPriceLowerThanPastPrices_thenValuesAreGreen(TestDataSql, TestData, SoftAssertions)","Higher past token values should have color green: rgba(7, 243, 107, 1)"
"passed","Tue Aug 08 12:41:15 GMT 2023","Tue Aug 08 12:41:28 GMT 2023","13145","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenMultipleWallets_thenCounterShowsTheNumber","whenMultipleWallets_thenCounterShowsTheNumber(TestData)",""
"passed","Tue Aug 08 12:42:29 GMT 2023","Tue Aug 08 12:42:42 GMT 2023","12670","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenClickOnOpenExplorerForPolygonWalletAddress_thenOpenExplorerPage","whenClickOnOpenExplorerForPolygonWalletAddress_thenOpenExplorerPage(TestData, WebDriver)","Wallet explorer for test: MATIC: https://mumbai.polygonscan.com/address/All addresses belong to the testnet."
"passed","Tue Aug 08 12:40:52 GMT 2023","Tue Aug 08 12:41:05 GMT 2023","12664","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenTotalValue","whenWalletValid_thenTotalValue(TestData, SoftAssertions, WebDriver)","Total asset value based on the value of each wallet for each token"
"passed","Tue Aug 08 12:42:17 GMT 2023","Tue Aug 08 12:42:29 GMT 2023","11879","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenMaticBalanceComponent","whenWalletValid_thenMaticBalanceComponent(TestData)","MATIC balance component for valid wallet"
"passed","Tue Aug 08 12:41:28 GMT 2023","Tue Aug 08 12:41:43 GMT 2023","14577","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenClickOnEthereumWalletAddress_thenOpenExplorerPage","whenClickOnEthereumWalletAddress_thenOpenExplorerPage(TestData, WebDriver)","Wallet explorers for test: ETH: https://goerli.etherscan.io/address/. All addresses belong to the testnet for each token."
"passed","Tue Aug 08 12:42:10 GMT 2023","Tue Aug 08 12:42:25 GMT 2023","15799","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenMultipleAddress_thenCanScrollToLastElementOnPage","whenMultipleAddress_thenCanScrollToLastElementOnPage(TestData, WebDriver, JavascriptDriver, SoftAssertions)",""
"passed","Tue Aug 08 12:41:56 GMT 2023","Tue Aug 08 12:42:10 GMT 2023","13334","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenNavigateBackAndForwardPage_thenDataMaintain","whenNavigateBackAndForwardPage_thenDataMaintain(TestData, WebDriver)",""
"passed","Tue Aug 08 12:42:06 GMT 2023","Tue Aug 08 12:42:17 GMT 2023","10928","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenWalletValid_thenSymbolName","whenWalletValid_thenSymbolName(TestData, SoftAssertions)",""
"passed","Tue Aug 08 12:41:17 GMT 2023","Tue Aug 08 12:41:27 GMT 2023","10632","","pl.kargolek.tests.BalanceUIAsyncTest","","pl.kargolek.tests.BalanceUIAsyncTest","whenMultipleWallets_thenAddressesAreInTheProperColumn","whenMultipleWallets_thenAddressesAreInTheProperColumn(TestData, SoftAssertions)","Address is reduce to 11 char."
