"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for empty wallet","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance empty, then I want to see flat trend line for 7d ","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for empty wallet and not empty wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for single wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for multiple wallets","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for 22 wallet addresses","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for empty wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for 22 wallet addresses","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for multiple wallets","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for multiple wallets","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for empty wallet","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when open balance page, trend line chart label is visible","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for empty wallet  and not empty wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for single wallet","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty I want to see trend line for 7d ","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for empty wallet and not empty wallet","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/matic/balance for 44 wallet addresses","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/avax/balance for multiple wallets in single query param","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for multiple wallets in single query param","0","0","1","0","0"
"Token balance","Trend line chart UI","As user when wallet balance not empty and decrease 10% each past data, trend shows correct line","0","0","1","0","0"
"","WalletService API Test - positive","As user GET resource /api/v1/wallet/eth/balance for single wallet","0","0","1","0","0"
